,0
873,nhân viên lái xe giao hàng - lái phụ
874,thợ máy tàu biển bậc 1
875,cán bộ không chuyên trách
876,mộc máy
877,phó trưởng phòng phóng viên
878,nhân viên nhân sự
879,công nhân đào tạo
880,công nhân hoa công
881,công nhân đo đếm vải may công nghiệp
882,nhân viên giao nhận suất ăn
883,nhân viên - v02 - tỉnh lào cai
884,nhân viên tiếp thị tại tp.pleiku  gia lai
885,chuyên viên phòng kinh tế kế hoạch
886,hoàn tất
887,công nhân cắt tỉa
888,công nhân  bpct
889,cnv-hta3
890,nhân viên - v04 - h. tháp mười  t. đồng tháp
891,lái xe trộn
892,lái xe vận chuyển bê tông
893,2853
894,chủ tịch ubnd
895,công nhân gắng tay
896,công nhân tiếp nhận cá
897,nhân viên-cấp bậc 1
898,công nhân chặt (xưởng giầy)
899,trợ lý phòng ie
900,công nhân cắt vải may công nghiệp
901,cao đẳng điều dưỡng
902,nhân viên phòng kế hoạch
903,đầu bếp
904,nhân viên huấn luyện
905,tổ trưởng thêu
906,cn xưởng chặt
907,phó trưởng phòng
908,thợ sửa chữa
909,bí thư đoàn tncs hcm
910,nhân viên qc
911,công nhân tạo phôi finger
912,nv may mẫu
913,nhân viên bảo vệ phòng hcns
914,công nhân pto
915,công nhân quét keo  dán đế
916,công nhân tổ se chỉ 2d
917,công nhân thêu chi nhánh 2
918,công nhân cấp đông
919,bảo mẫu  c.ty tnhh gd song ngữ
920,tổ trưởng dệt
921,công nhân bộ phận giặt
922,nhân viên phát thanh  quản lý nhà văn hóa
923,trợ lý giám sát
924,kỹ sư xây dựng
925,nhân viên vận hành tập sự
926,trợ lý ktv
927,hàn điện
928,giáo viên (tổ trưởng)
929,nhâ viên
930,công nhân tổ chi tiết
931,cn kỹ thuật
932,chuyền phó chuyền may cn
933,kỹ sư cơ khí chế tạo
934,điều dưỡng trưởng khoa ptgm
935,nhân viên -  v03 - cn  bình định
936,nhân viên thao tác máy
937,nữ hộ sinh chính
938,công nhân may ba lô  túi xách
939,nv hành chính
940,nhân viên kiểm lỗi phần mềm
941,công nhân quét keo
942,btđ tncshcm
943,phó chủ tịch ubnd
944,công nhân in ép
945,công nhân sản xuất dây dẫn điện
946,nhân viên trạm y tế xã
947,giám sát giặt là
948,công nhân may chuẩn bị
949,nhân viên - v03 - tỉnh bạc liêu
950,nhân viên kinh doanh - hải dương kv3
951,công nhân lò nung
952,nhân viên viễn thông chi nhánh điện phan thiết
953,công nhân xưởng cắt
954,công nhân khoan nổ
955,cn đăklăk - v3-  nv nhóm tư vấn bán hàng
956,đội trưởng đội thi công
957,nhân viên kiểm soát chất lượng injection 2
958,công nhân bọc nệm
959,phó bí thư đoàn tncs hcm
960,nhân viên xuất nhập khẩu
961,nhân viên thu thuê bao
962,nhân viên giao hàng
963,trưởng ca - v01 - tp. hồ chí minh
964,hoist
965,công nhân kcs săm
966,nhân viên - v03 - tỉnh vĩnh long
967,công nhân (qc fin f2)
968,lái xe tải
969,nhân viên mua hàng
970,công nhân bậc 1
971,giáo viên'
972,lái máy xúc rác
973,công nhân phòng sản xuất ato
974,trưởng phòng hcns
975,dịch vụ
976,bếp trưởng
977,nv kỹ thuật tkbt
978,nhân viên - v03 - tỉnh hậu giang
979,công nhân cắt gạch
980,nhân viên kỹ thuật điện nước
981,cn  mài 3
982,công nhân épmex
983,công nhân hlbu ống đứng
984,công nhân khuôn đúc
985,công nhân qc kiểm hàng
986,công nhân đo vải
987,công nhân may -1964
988,công nhân lắp ráp điện gia dụng
989,giáo viên lao động hợp đồng
990,phường đội phó
991,công nhân bộ phận thành hình
992,tổ phó chuyên môn
993,nhân viên siêu thị
994,công nhân giao nhận
995,công nhân xưởng may
996,công nhân chuyền thành hình
997,cnhân may cn
998,công nhân gấp  đóng gói sản phẩm
999,chuyên viên phòng tư vấn và hỗ trợ dn
1000,y sĩ
1001,kiểm soát viên
1002,nt cắt bo
1003,cn vận hành máy may (may công nghiệp)
1004,nvb.hàng
1005,công nhân cắt phá  cắt gọt (may công nghiệp)--mã nnđh--023100
1006,vận hành máy ống hút màng co
1007,công nhân mài đá ốp lát
1008,trưởng công an xã
1009,nhân viên quản lý sản xuất
1010,tăng mới theo hợp đồng lao động số 13-2017/hđlđ  tm
1011,nhân viên callcenter
1012,cn sửa chữa cơ điện trong hầm lò
1013,công nhân logistics
1014,kỹ thuật thổi  bộ phận sản xuất
1015,kỹ thuật viên âm thanh ánh sáng
1016,bảo trì
1017,công nhân gấp  đóng gói  (may công nghiệp)
1018,nv vệ sinh công nghiệp
1019,công nhân hàn bậc 3/7
1020,công nhân may công nghệp
1021,nhân viên phục vụ  phục vụ
1022,trợ lý trưởng xưởng
1023,nhân viên bảo vệ  làm theo chế độ 03 ca
1024,thành hình
1025,công nhân trại
1026,giao dịch viên cửa hàng
1027,nhân viên bảo hành
1028,nhân viên cung ứng
1029,cn áp tải
1030,tổ trưởng
1031,giáo viên-khối trưởng
1032,lái xe tải loại tải tọng 36 tấn bậc 1/4
1033,kt cam
1034,công nhân đánh cát
1035,giáo viên trường thcs thạnh thới thuận
1036,thợ lắp
1037,hộ sinh khoa sản
1038,công nhâna-l
1039,công nhân máy may
1040,công nhân cơ lý
1041,nv hổ trợ kt  làm việc tại bình dương  vùng 1
1042,công nhân dán mouse
1043,công nhân sản xuất và lắp ráp motor
1044,giáo viên trường mầm non liên sơn
1045,công nhân vận hành máy may (may công nghiệp- may mẫu)
1046,công nhân-tổ đóng gói
1047,nhân viên phòng chất lượng
1048,công nhân sơn bảo dưỡng chai gas
1049,công nhân-đúc
1050,công nhân sản xuất lắp ráp
1051,hộ sinh
1052,cn sắt
1053,80219/nhân viên dự án srf/quảng nam/vùng 3
1054,công nhân sản xuất tôm
1055,ktv lắp đặt
1056,công nhân may nối thân
1057,công nhân vận hành máy in offset
1058,nhân viên bán lẻ xd
1059,cn.đóng gói sản phẩm kim loại màu
1060,phụ việc
1061,cn phụ
1062,nhân viên lái xe nâng
1063,công nhân ủi thành phẩm
1064,nhân viên kiểm tra chất lượng sản phẩm
1065,techno-commercial executive
1066,giao nhận
1067,nhân viên kĩ thuật
1068,điều dưỡng trung cấp
1069,đt may
1070,công nhân sản xuất bánh
1071,nv bán hàng
1072,phụ việc tổng vụ
1073,gia?m sa?t
1074,công nhân kiểm phẩm
1075,văn phòng đảng uỷ
1076,nhân viên bán hàng siêu thị
1077,đóng gói - kíp b1
1078,kiểm lâm viên chính  hạt kiểm lâm diên khánh
1079,công nhân tráng men( làm việc 3 ca)
1080,nhân viên nấu bếp
1081,tổ phó
1082,công nhân sửa chữa ô tô
1083,công nhân tạo hình ngói
1084,qu?n lý xu?ng
1085,công nhân in máy
1086,nhân viên kỹ thuật tại cty tnhh xd tm &amp; dv hà hưng
1087,cn phun sơn
1088,công nhân bộ phận đánh bóng
1089,cn đóng gói
1090,công nhân dán đế
1091,công nhân ép phun
1092,lái xe taxi  bậc 1/8
1093,công nhân-đóng gói
1094,công nhân chế biến gỗ
1095,nhân viên bán hàng - bình dương - thị xã bến cát - kv1
1096,nhân viên kinh doanh csp
1097,giáo viên trường mầm non bán công xã liêm thuận
1098,nhân viên tư vấn long khánh: 27-31 cmt8  xuân an  tx long khánh  đồng nai - văn phòng
1099,y tá th
1100,công nhân tổ bọc
1101,cbkt
1102,giáo viên thcs trường thcs đăk pek
1103,công nhân_chuẩn bị 5
1104,hiệu phó
1105,công nhân làm vườn
1106,dược sỹ
1107,giáo viên  tổ phó
1108,trưởng bộ phận
1109,công nhân  -cty great process mẫu cb
1110,công nhân mạ đồng
1111,tư vấn viên làm việc tại nha trang
1112,xn pvcc
1113,phó bí thư đoàn xã
1114,nhân viên hướng dẫn game
1115,nhân viên bán hàng - bình định - kv4
1116,cnvh dây chuyền sợi
1117,nhân viên kho kiêm hỗ trợ kỹ thuật - v03 - tỉnh thừa thiên - huế
1118,tổ phó tổ anh
1119,cnsx
1120,công nhân trang trí
1121,nhân viên bán xăng dầu chxd số 1 - 124 lê duẩn - phường 1 - thị xã quảng trị - quảng trị
1122,dựoc sỹ tc-bậc1 -85%
1123,nhân viên/chuyên viên
1124,nhân viên phòng kế hoạch kinh doanh
1125,kiểm hàng
1126,công nhân bảo vệ rừng  trồng rừng
1127,ép đế
1128,cao su
1129,chuyên viên hỗ trợ kinh doanh
1130,nhân viên phục vụ bàn
1131,đội phó đội sản xuất
1132,cn khai thác mủ cao su
1133,kiểm tra viên
1134,công nhân kho sinh quản
1135,công nhân chế biến hải sản đông lạnh
1136,công nhân - lắp ráp giảm xóc sau
1137,công nhân kiểm mãnh may công nghiệp
1138,công nhân cấp liệu
1139,nhân viên kinh doanh (a)
1140,công nhân chế biến thủy sản
1141,lao động phổ thông
1142,nv hỗ trợ kỹ thuật - lv1
1143,công nhân bắt thướt;
1144,cn phụ việc
1145,công nhân phôi
1146,công nhân đánh bóng sản phẩm
1147,công nhân chuyền gomuneri
1148,công nhân chỉnh lý c
1149,kỹ thuật hiện trường
1150,lái máy kéo
1151,công nhân chà nhám
1152,52396/nhân viên bán hàng/beko/hà nội/vùng 1
1153,cn cấp dưỡng
1154,phó trưởng công an
1155,tư vấn bán hàng
1156,công nhân đúc đế(sx - a)
1157,công nhân đại tu cầu đường sắt
1158,công nhân sản xuất lắc
1159,cắt cỏ
1160,phụ bếp - bếp
1161,điều dưỡng trung học - khoa sơ sinh
1162,b.vệ
1163,nv kho hàng
1164,công nhân chăm sóc cây cảnh
1165,công nhân chuyên dng
1166,nhân viên sản xuất - chi nhánh trà vinh
1167,dệt may
1168,phụ may
1169,công nhân chuyền bàn
1170,nhân viên cơ khí
1171,giáo viên trường mn huỳnh kim phụng
1172,công nhân kéo dây đồng và nhôm
1173,nhân viên  cn bắc giang - v03
1174,phan loai  kiem tra san pham
1175,công nhân cắt da bò
1176,worker(cn)
1177,lái cẩu
1178,công nhân kiểm tra chất lượng  tổ thu hóa
1179,công nhân chỉnh lý (rb)
1180,nặng nhọc
1181,ks ql đất đai
1182,điều dưỡng viên hạng iv
1183,công nhânđế lớn (cx-b)-b)
1184,nhân viên bán vé
1185,công nhân bộ phận no sew
1186,hộ lý khoa ung bướu
1187,nữ hộ sinh  trạm y tế xã quế lộc
1188,tổ trưởng kéo xoắn
1189,công nhân xử lý nước thải
1190,điều dưỡng tc
1191,công nhân thành phẩm 1
1192,công nhân đại đế
1193,nhõn viờn  đội bảo vệ
1194,tổ trưởng cắt
1195,lò trưởng
1196,nhân viên hướng dẫn
1197,ql sản xuất
1198,bảo vệ (đi ca)
1199,giáo viên tiếng anh.trường mầm non scavi
1200,cán sự  phòng thống kê đông sơn
1201,quan trắc viện
1202,nhân viên vận hành xe nâng hạ
1203,công nhân sấy da
1204,kỹ thuật bảo trì
1205,công nhân tinh 4
1206,công nhân thêu
1207,cn kcs
1208,công nhân loại 4 (ghép)
1209,công nhân đai đấu
1210,công nhân cán cao su: đứng máy 2 trục ở ccs
1211,công nhân xây dựng
1212,nhaõn vieõn boọ phaọn nos e
1213,công nhân tổ cha bo
1214,công nhân ép nhựa
1215,công nhân  cb thủy sản
1216,công nhân bảo dưỡng
1217,nhân viên bảo vệ kho dự trữ
1218,kỹ thuật aa điện
1219,công nhân tổ chà
1220,nvkd
1221,nhân viên thợ mộc
1222,trưởng phòng chăm sóc khách hàng
1223,công nhân phục vụ may
1224,nhân viên bộ phận giặt ủi
1225,điều dưỡng viên
1226,công nhân mài chuẩn bị
1227,công nhân lao động phổ thông  cn sông đà 6.03
1228,cn vận hành máy khoan địa chất
1229,nhân viên - v03 - tỉnh bình định
1230,công nhân vận hành dây chuyền sợi
1231,y sĩ bậc 1/12-tyt tân quới
1232,cao đẳng điều dưỡng (điều dưỡng hạng iv) tại phòng điều dưỡng (đi luân khoa nội hô hấp); thực hiện các quy trình  chuyên môn  kỹ thuật chăm sóc (phục vụ) toàn diện cho người bệnh tại khoa nội hô hấp
1233,công nhân may 1 kim
1234,giáo viên tr. mn vàng san xã bum nưa
1235,nv quan hệ khcn
1236,công nhân vận hành máy may công nghiệp  tổ 6
1237,tư vấn viên
1238,chuyên viên kỹ thuật
1239,cán bộ tổng hợp
1240,nhân viên bán lẻ xăng dầu
1241,công nhânép đế đi 3 ca
1242,công nhân inpad
1243,nhân viên xưởng vụ a6
1244,công nhân đứng máy cắt cnc
1245,nhân viên máy mài
1246,công nhân dán đế lớp 3
1247,công nhân lò hơi
1248,công nhân chế biến thủy  hải sản đông lạnh
1249,công nhân hậu xử lý
1250,bí tư xã đoàn
1251,công nhân chuyền sp
1252,cán bộ tư pháp
1253,công nhân may công nghiệp xuân trung  long khánh  đồng nai
1254,kỹ sư thủy sản
1255,nhân viên an toàn lao động
1256,nữ hộ sinh trung cấp bậc 1/12  khoa sản
1257,nhân viên trắc đạc công trường
1258,nhân viên s1
1259,chủ tịch hội đồng quản trị
1260,công nhân khai thác lò
1261,công nhân in di động
1262,kỹ thuật viên xét nghiệm đa khoa-nhân viên khoa xét nghiệm
1263,nhân viên nghiệp vụ khai thác
1264,nhân viên may mẫu
1265,thợ điện
1266,chuyên viên kd
1267,cán bộ địa chính
1268,công nhân in xoa 1
1269,chuyên viên i quan hệ khách hàng
1270,nhân viên kho siêu thị
1271,cộng nhân sơn ip
1272,nhân viên - v04 - tỉnh tây ninh
1273,công nhân sản xuất - làm việc tại long xuyên  an giang
1274,công nhân duy tu  sữa chữa cầu đường sắt - cung đường mỹ chánh
1275,công nhân kiểm tra
1276,y sỹ
1277,thường trực
1278,bán hàng
1279,nvtt
1280,công nhân bộ phận hàn i
1281,công nhân đóng thùng
1282,nhân viên - v03 - thanh hoá
1283,cn .vân hành máy may
1284,giám đốc
1285,công nhân bộ phận vỏ lụa tay
1286,công nhân tp fingerca3
1287,8059
1288,công nhân vận hành máy
1289,công nhân đứng máy tiền phương
1290,công nhân phết keo đế và mũ giầy
1291,công nhân đứng máy chặt kv cán cao su
1292,công nhân lưu hóa các sản phẩm cao su
1293,nhân viên kinh doanh dự án samsung
1294,công nhân kỹ thuật cơ khí
1295,công nhân phòng chế tạo
1296,công nhân phụ
1297,cn đứng máy
1298,trưởng nhóm bán hàng trực tiếp
1299,c.n wood
1300,nhân viên bếp
1301,nhân viên tư vấn kỹ thuật thương mại
1302,công nhân phun ép
1303,công nhân may máy may công nghiệp
1304,nhân viên vận hành sản xuất
1305,giáo viên - trường mẫu giáo long bình
1306,nhân viên đứng máy bộ phận ncc
1307,công nhân thành hình -xưởngdép
1308,công nhân đứng máy ép giày
1309,bếp chính
1310,công nhân trải vải (may công nghiệp)
1311,nhân viên đứng máy sợi con
1312,công nhân thành hình các sản phẩm cao su
1313,nhân viên vận hành máy
1314,nhân viên hành chính nhân sự
1315,công nhân sản xuất cà phê
1316,điều dưỡng hạng iv
1317,công nhân vận chuyển kho vải nguyên liệu
1318,nhân viênthao tác
1319,giám đốc kd
1320,nhân viên kỹ thuật  lao động gian tiêp
1321,công nhân lọc và tẩy keo thuộc px silicate
1322,nhân viên đo đạc
1323,nhân viên cấp dưỡng
1324,công nhân tổ mài
1325,tbpt-công nhân đóng gói
1326,công nhân phụ hàn
1327,công nhân chuyền đế
1328,công nhân bộ phận may long thành
1329,giáo viên tiểu học bậc 1/12
1330,y sỹ đa khoa
1331,công nhân vận hành trạm biến thế từ 110 kv trở lên.
1332,công nhân nguyên vật liệu
1333,nv thao tác
1334,công nhân đóng gói a 03
1335,công nhân công nghệ bao
1336,công nhân sản xuất thức ăn thủy sản
1337,công nhân ép
1338,công nhân sản xuất sản phẩm cao su
1339,công nhân mài nút
1340,công  nhân may công nghiệp
1341,nhân viên thu phí
1342,nhân viên (đh)
1343,công nhân hàn điểm
1344,công nhân chế biến mủ cao su
1345,nhân viên bán hàng bậc 1/5
1346,cán bộ kct
1347,nhân viên kinh doanh kênh trả góp
1348,nvvp
1349,lái xe taxi
1350,nv giao hàng
1351,công nhân - may
1352,phó chánh văn phòng
1353,tổ phục vụ ka 1
1354,4999
1355,nhân viên lái xe khách 16 ghế
1356,thống kê  kế toán
1357,khai thác than trong hầm lò
1358,vận hành máy xúc ghạt bậc 3/7
1359,phó t khoa
1360,vận hành dây chuyền sợi
1361,ép kim viềng
1362,công nhân dán lót thân
1363,công nhân đánh đầu giày
1364,nhân viên - trường tiểu học tân hội b
1365,kế  toán
1366,nv x.hoàn thành
1367,công nhân kiểm tra chất lượng (kiểm hóa)
1368,công nhân_phụ việc
1369,cn cb
1370,đóng đinh
1371,công nhân đế
1372,cn may trực tiếp cn
1373,nhân viên thiết bị
1374,cn. kiểm tra chất lượng
1375,lái xe trọng tải từ 40 tấn trở lên
1376,công nhân  zy0172
1377,công nhân sửa chữa các thiết bị sản xuất xi măng trong phân xưởng sản xuất chính
1378,công nhân chà nhám
1379,nhân viên tổng đài thu hồi nợ - bậc 1
1380,giáo viên - tổ trưởng khối 4+5
1381,diễn viên múa đoàn nghệ thuật tổng hợp
1382,công nhân chăm sóc cao su
1383,công nhân đóng túi
1384,nhân viên phòng sxlr
1385,giáo viên trung học cơ sở
1386,công nhân vô lon ghẹ
1387,thợ nguội lắp ráp -bậc 3/7 - a1.6 n2
1388,đứng máy cắt ván(nhóm3)
1389,nv kd
1390,bác sỹ khoa nhi
1391,công nhân vận hành máy nén khí  bậc 3/7 thuộc phân xưởng luyện gang
1392,cn sửa chữa biến thế
1393,nhân viên bán hàng - kênh tt - l.1
1394,công nhân kiểm tra toàn bộ
1395,công nhân  định vị
1396,phóng viên
1397,nhân viên nhân viên xử lý hàng hóa - kho hải an - pkd08
1398,hộ lý  -
1399,nhân viên kế toán kho
1400,nhân viên hành chánh
1401,công nhân điện phân dung dịch nacl sản xuất xút (naoh)
1402,cn bán lẻ xăng  dầu (049003)
1403,nv văn thư
1404,cán bộ nhà đất
1405,bảo vệ  trường tiểu học long sơn
1406,công nhân may máy 1 kim
1407,trợ lý văn phòng
1408,công nhân so  sửa bán thành phẩm  công ty tnhh gg việt nam
1409,cn là gấp trong công nghiệp may
1410,kỹ sư - phòng kỹ thuật cơ điện
1411,công nhân may khuyết cúc trong công nghiệp may
1412,nhân viên - v04 - tỉnh quảng ninh
1413,lái xe đào 1 2 khối
1414,giáo viên trình độ cđsp
1415,công nhân nghiền phế liệu nhựa
1416,chuẩn bị liệu
1417,công nhân sơn b
1418,đội bảo toàn máy sợi con
1419,cn - nhuộm 2
1420,b. vệ
1421,công nhân hàn(6g) 1/7
1422,công nhân là gấp đóng gói sản phẩm
1423,công nhân cốt thép - hàn
1424,tổ trưởng chuyền may công nghiệp
1425,công nhân tổ sản xuất
1426,công nhân phân xưởng đùn ép
1427,công nhân ép nhựa
1428,cán bộ nhân viên
1429,công nhân may dằn thân
1430,nvbh
1431,công nhân đội vệ sinh
1432,ép suất  thành hình
1433,nv kt
1434,cán bộ tín dụng
1435,công nhân đóng gói 3 ca
1436,công nhân định hình mũ
1437,gdv quỹ
1438,công nhân lái xe
1439,sĩ quan boong bậc 1/3
1440,công nhân mài phá
1441,công nhân trồng và chăm sóc cây cao su
1442,xưởng sợi
1443,cn đề co
1444,y sĩ y học cổ truyền
1445,công nhân dập hàng
1446,kiểm hoá
1447,lái xe kamaz bậc 2/4  ban quản lý khu liên hợp gang thép
1448,nhân viên chụp hình
1449,công nhân máy con
1450,công nhân kỹ thuật viễn thông
1451,giáo viên tổ trưởng
1452,thợ ủi
1453,y sỹ - trưởng trạm-trạm y tế xã bản cầm
1454,công nhân sơ cấp chất lượng sản xuất
1455,công nhân phòng kỹ thuật
1456,phục vụ bàn
1457,nhân viên kỷ thuật
1458,cửa hàng trưởng
1459,nhân viên bán hàng phổ thông kênh gt
1460,giáo viên - trường thcs long trị 2
1461,công nhân cđ
1462,công nhân kỹ thuật hình ảnh
1463,công nhân hình ảnh
1464,công nhân phân xưởng lên men
1465,nv it
1466,công nhân đế cao su
1467,công nhân kỹ thuật phòng cơ khí
1468,nhân viên xưởng sản xuất
1469,công nhân công vụ
1470,công nhân dán bù
1471,công nhân tiếp xúc nước xử lý
1472,phụ việc xếp gỗ
1473,giám sát bán hàng
1474,nhân viên - v03 - tỉnh quảng ninh
1475,vn.5061
1476,công nhân vận hành máy mcn
1477,nhân viên - v03 - tỉnh lạng sơn
1478,thiết kế
1479,nhân viên kỹ thuật địa chất
1480,đdth
1481,công nhân tổ cnc+ chuyền bàn
1482,công nhân tổ cắt
1483,nhân viên phòng chế tạo khung
1484,khai thác mỏ hầm lò
1485,giáo viên.
1486,vận hành máy đảo sợi  se sợi con
1487,công nhân ráp linh kiện điện tử
1488,quản lý nhân sự
1489,nhân viên văn thư
1490,nhân viên giới thiệu sản phẩm
1491,nhân viên quầy thức ăn nhanh
1492,công nhân phun cát tẩy rỉ vỏ tàu
1493,chuyên viên tư vấn bán hành
1494,nhân viên chăm sóc khách hàng - tiền sảnh
1495,p. giám đốc
1496,nhân viên kho kiểm vải
1497,công nhân kiểm hàng đế lớn
1498,quản lí
1499,công nhân ip
1500,cắt vải trong công nghệ may
1501,cb vhtt
1502,cnhân đóng nút
1503,công nhân máy hai màu 2
1504,công nhân so  sửa bán thành phẩm
1505,công nhân sản xuất giầy bộ phận pha cắt
1506,trưởng phòng kinh doanh
1507,nhân viên bảo mẫu
1508,bảo vệ phòng tiếp dân
1509,thợ chính
1510,kiểm tra chất lượng
1511,công nhân phụ may máy công nghiệp
1512,lái xe sơ mi rơ mooc - phòng kế hoạch kinh doanh
1513,công nhân sản xuất tất
1514,công nhân dệt dây giày
1515,công nhân phụ máy thêu
1516,công nhân cl1-l1
1517,cn kho
1518,kỹ sư  bậc 1 - vi.01
1519,công nhân thợ hàn
1520,may 7a
1521,nhân viên - v03 - tỉnh vĩnh phúc
1522,công nhân vận hành thiết bị may công nghiệp  bậc 1/4 (a.01)
1523,đào tạo
1524,nv đổ sợi sợi con
1525,công nhân đóng đinh
1526,phụ lái đầu máy xe lửa chở than
1527,công nhân xưởng bao bì
1528,nv bán hàng kiêm thu ngân
1529,công nhân thành phẩm
1530,nhân viên phòng quản lý và tt sản phẩm
1531,nhân viên đặt phòng và tổng đài
1532,nv kỹ thuật
1533,nhân viên hóa mỹ phẩm
1534,y tá
1535,phục vụ nấu ăn
1536,giám định viên
1537,công nhân thao tác công đoạn chuẩn bị
1538,công nhân vận hành mmcn
1539,công nhân sửa chữa máy sợi tại phân xưởng
1540,công nhân in ống đồng
1541,nhõn viờn dọn dẹp
1542,công nhân bông đệm
1543,công nhân tạo hình
1544,bác sĩ
1545,công nhân bóc lụa
1546,công nhân thu tiền điện
1547,công nhân tiện thủy lực
1548,công nhân mài đá
1549,công nhân kiểm tra chất lượng (023102)
1550,nhân viên an ninh
1551,thợ  may
1552,sửa chữa cơ  điện
1553,văn phòng thống kê
1554,giám sát công trình
1555,nhân viên vệ sinh môi trường
1556,sr - nhân viên bh
1557,công nhân bộ phận đóng gói
1558,nv nhận hàng
1559,công nhân đế 1
1560,công nhân thao tác công đoạn thành hình
1561,giáo viên - tổ trưởng
1562,công nhân tổ ép
1563,nhân viên bộ phận  khuôn mẫu
1564,công nhân vận hành lò
1565,senior supervisor  partnership distribution
1566,học viên sản xuất vùng 1
1567,công nhân phòng in bao bì mỹ phẩm
1568,công nhân gắn rập nhám
1569,trợ lý kiểm toán viên
1570,công nhân gấp
1571,công nhân may thủ công
1572,hộ tịch - pca
1573,công nhân bộ phận nos n
1574,công nhân vận hành máy may cn
1575,công nhân khâu chuẩn bị
1576,công nhân xưởng in
1577,công nhân kiểm tra sản phẩm
1578,nhân viên trang trí kiêm thu ngân - sim số - v02 - tỉnh an giang
1579,công nhân - kcs
1580,nhân viên - phòng bếp
1581,cụng nhõn sản xuất
1582,nhân viên tạp vụ
1583,nhân viên phòng kỹ thuật linh kiện
1584,công nhân  chăm sóc cao su
1585,nhân viên - v02 - cn thái nguyên
1586,nhân viên xếp kiện bông ( nhân viên xếp kiện )
1587,nhân viên phụ bếp ii - bếp
1588,giáo viên mndl minh lập
1589,nv thu mua
1590,cn gọt đế
1591,quản trị viên dữ liệu
1592,công nhân cột sắt
1593,nhân viên bán hàng - bến tre - kv3
1594,nv.cấp dưỡng
1595,nhân viên xét nghiệm
1596,cn chăm sóc cao su
1597,nhân  viên  tiểu học lùng phình
1598,lái máy
1599,công nhân xưởng sơn
1600,nhân viên dịch vụ khách hàng
1601,1006694
1602,cn thủ công
1603,c.nhân may
1604,công nhân bp qc
1605,nhân viên phòng trung tâm xử lý nguyên vật liệu
1606,công nhân máy lạng
1607,công nhân chế biến hải thủy sản đông lạnh
1608,công nhân chế biến thủy sản đông lạnh
1609,cán bộ nhân viên seabank
1610,chỉ huy trưởng
1611,chuyên viên cao đẳng  bậc 1/10 mã số 01a.003
1612,chuyên viên  xí nghiệp kinh doanh số 2
1613,công nhân phân xưởng đế
1614,kỹ  thuật viên bệnh động vật
1615,công nhân sx phụ tùng ô tô
1616,nhân viên xln
1617,gíao viên trường  tiểu học tăng hoà
1618,chủ tịch
1619,công nhân chăm sóc cà phê đội 8
1620,công nhân tổ cơ điện
1621,giám sát phát triển nhân lực
1622,công nhân xây lắp điện
1623,nhân viên-hà nội
1624,cn tlsp
1625,nhân viên bảo trì tại các trang trại  trung tâm bán heo
1626,công nhân khai thác mỏ atimom
1627,công nhân may - chuyền may a5
1628,phụ trách kế toán
1629,công nhân nhổ giày
1630,công nhân lắp ráp chassis
1631,nhân viên - v03 - cn lạng sơn
1632,phó phòng tài chính kh
1633,trưởng ca xã
1634,công nhân sản xuất trực tiếp
1635,công nhân lâm nghiệp
1636,công nhân xưởng chế tạo thùng
1637,sửa chữa cơ điện trong hầm lò
1638,phó trại
1639,nhân viên hđ  cử nhân điện tử
1640,nhân viên điểm giới thiệu dịch vụ (điện máy) - nơi làm việc: long an
1641,nhân viên kế toán  phòng kế toán
1642,nhân viên tư vấn - v03 - châu thành - tiền giang
1643,công nhân quét rác
1644,nhân viên phòng tài khoản
1645,bảo mẫu
1646,cn-dán hợp
1647,nhân viên bán hàng - nghệ an - kv4
1648,1020883
1649,công nhân lò hấp
1650,nv pxv
1651,công nhân tổ may mũ giày
1652,nhân viên - v03 - tỉnh quảng ngãi
1653,kiểm tra và gia công sản phẩm
1654,nhân viên lái xe cuốc
1655,cụng nhõn lành nghề sản xuất điện thoại
1656,giáo viên thsp mầm non
1657,trưởng phòng kỹ thuật
1658,nhân viên bảo vệ chi nhánh hoà thuận
1659,coõng nhaõn
1660,nhân viên bộ phận kế toán  nơi làm việc: văn phòng công ty
1661,trợ lý kỹ thuật viên
1662,công nhân vận hành máy quấn sợi
1663,kỹ thuật viên sơn
1664,công nhân bốc dỡ đá cây lên xuống tàu đánh cá biển
1665,cn máy
1666,ủy viên ban thường vụ
1667,lái xe chở hàng
1668,nhân viên thiết kế (tính công đoạn ie)
1669,nhân viên truyền thông
1670,nhân viên chia bài
1671,giáo viên trường thcs phú tân
1672,công nhân làm mẫu ghế
1673,thực tập sinh thương mại
1674,công nhân cạo mủ cao su
1675,may chuyền 12
1676,cn may 3
1677,cn nề xây dựng các ct đầu mối thủy lợi  thủy điện
1678,mậu dịch viên
1679,tổ trưởng chuyền sản xuất điện thoại  thiết bị điện tử viễn thông - phòng sản xuất
1680,y tế học đường
1681,nhân viên bàn
1682,công nhân điện kỹ thuật
1683,n.viên
1684,lưu trữ viên trung cấp
1685,giáo viên (khối trưởng)
1686,công nhân nạp liệu
1687,công nhân dịch vụ
1688,điều dưỡng th
1689,công nhân cat-cb a
1690,nv bán hàng- cn quảng ngãi
1691,kỹ sư bậc 1/8
1692,trải vải
1693,công nhân chế biến gỗ  phân xưởng sản xuất
1694,giáo viên mầm non bậc 1/12
1695,công nhân phòng sản xuất linh kiện điện tử
1696,công nhân in xoa
1697,công nhân thử nghiệm
